Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Candidate Vote Details
,,"TANGAERE-MANUEL, Cushla","TUHAKARAINA, Ueraata Butch-Keegan","WHAITIRI, Meka",Total Valid Candidate Votes,Informal Candidate Votes
,"Waikirikiri School, 7 Pickering Street",69,2,28,99,2
,"Wainui Beach School, 56 Wairere Road",24,1,7,32,1
Hicks Bay,"Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road",64,0,27,91,0
Manutūkē,"Manutuke School, 59 Waingake Road",40,0,41,81,1
Pātūtahi,"Patutahi School, 29 Atkins Street",28,0,21,49,2
Ruatoria,"Ngata Memorial College, 1 College Road North",196,0,50,246,2
Te Araroa,"Te Waha O Rerekohu Area School, 3 Arewhana Street",105,5,27,137,2
Te Karaka,"Te Karaka Area School, 5 Kanakanaia Road",63,2,34,99,10
Tikitiki,"Tikitiki School, 33 Rangitukia Road",121,3,11,135,1
Tokomaru Bay,"Hatea-A-Rangi School, 6 School Road",111,2,46,159,2
Tolaga Bay,"Tolaga Bay Area School, 24 Resolution Street",113,2,37,152,4
Whangara,"Whangara School, 44 Pa Road",15,0,6,21,0
Whatatutu,"Whatatutu School, 24 Te Hau Road",38,0,15,53,3
Hutt South
Belmont,"Belmont Hall, 711 Western Hutt Road",7,1,9,17,3
Epuni,"Epuni School Hall, 313 Waiwhetu Road",6,1,6,13,1
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",21,1,20,42,0
Kelson,"Kelson School, 52 Taieri Crescent",9,1,10,20,0
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",18,1,17,36,2
Moera,"Randwick School, 59 Randwick Road",5,0,1,6,1
Normandale,"St Aidan's on the Hill, Church Hall, (corner Poto Road & Stratton Street)",4,2,1,7,0
Petone,"Petone Central School, 16 Britannia Street",7,0,5,12,0
,"Petone Working Men's Club, 47 Udy Street",7,1,8,16,0
Seaview,"Kōkiri Marae, 7-9 Barnes Street",6,0,5,11,0
Wainuiomata,"Arakura School, 209 Wellington Road",47,8,37,92,1
,"Wainuiomata Intermediate School, 66 Konini Street",38,3,26,67,0
,"Wainuiomata Marae, 153-201 Parkway",50,1,54,105,1
,"Wainuiomata Primary School, 1 Homedale Road",28,6,38,72,0
,"Wainuiomata War Memorial Hall, 1 Queen Street",66,6,71,143,1
Waiwhetū,"Waiwhetū Marae Meeting House, 21 Puketapu Grove",2,1,10,13,0
Waterloo,"Waterloo School, 26 Hardy Street",9,0,6,15,0
Woburn,"Hutt Valley High School, 84-114 Woburn Road",1,0,11,12,1
Napier
Ahuriri,"Port Ahuriri School, 15 Lever Street",9,1,10,20,1
Bayview,"King George Hall, 1 Hill Road",25,8,22,55,0
Bluff Hill,"Napier Central School, 32 Napier Terrace",7,3,3,13,0
Frasertown,"Frasertown School, 5 Russell Parade",23,0,15,38,0
Greenmeadows,"Bay Baptist Church, 81 Gloucester Street",12,1,10,23,0
,"Mahoe Girl Guide Hall, 23 Auckland Road (corner Auckland Road & York Ave)",19,0,20,39,1
Kotemaori,"Kotemaori School, 4778 State Highway 2",3,0,7,10,1
Māhia,"Mokotahi Hall, 10 Ratau Street",26,3,10,39,0
,"Te Mahia School, 457 Mahia East Coast Road",33,1,27,61,1
Maraenui,"Maraenui Bilingual School, 2A Lister Crescent",40,1,18,59,0
,"Richmond School, 13A Barnard Avenue",24,0,16,40,0
,"Roopu A Iwi Trust, 32 Bledisloe Road",48,2,20,70,0
Marewa,"Marewa School, 80D Latham Street",45,3,33,81,5
,"Marewa Shopping Centre, Marewa Books, 118 Kennedy Road",31,1,45,77,6
,"Napier Church of Christ Building, 19 Douglas McLean Avenue",4,1,4,9,0
Mātāwai,"Matawai School, 29 Raumati Street",6,0,3,9,0
Meeanee,"Meeanee Memorial Hall, 2 Gavin Black Street",7,3,11,21,3
Mohaka,"Te Kura o Mohaka, 1978 Mohaka Coast Road",16,1,20,37,1
Muriwai,"Muriwai School, 1684 Wharerata Road",26,6,19,51,1
Napier,"Pacific Surf Life Saving Club Building, 26 Marine Parade",9,0,10,19,0
Napier South,"Napier Intermediate, 3 Jull Street",16,2,3,21,3
,"PAK'nSAVE Napier, 25 Munroe Street",40,5,49,94,1
Nūhaka,"Nūhaka Fire Station, 2 Ringawhero Street",35,0,21,56,2
Onekawa,"Henry Hill School, 13A Dick Place",16,0,19,35,0
,"Onekawa School, 235 Kennedy Road",7,1,8,16,0
,"Te Kura Kaupapa Māori o Te Ara Hou, 22 Wycliffe Street",32,1,37,70,1
Opoutama,"Opoutama Community Centre, 1631 Main Road",14,0,8,22,0
Pirimai,"Engage Church, 69 Bill Hercock Street",17,2,16,35,4
Poraiti,"Napier Old Boys Marist RFC, 9 Clyde Jeffery Drive",3,1,2,6,0
Puketapu,"Puketapu School, 708 Puketapu Road",4,1,4,9,2
Tamatea,"Tamatea Community Church, 1 York Avenue",29,2,40,71,2
,"Tamatea High School, 61 Freyberg Avenue",12,0,10,22,1
Taradale,"Bledisloe School, 30A Meeanee Road",9,1,9,19,0
,"Pettigrew Green Arena, 480 Gloucester Street",5,0,16,21,1
,"Taradale Anglican Church, 23 Puketapu Road",10,0,5,15,1
,"Taradale High School, 50 Murphy Road",16,1,4,21,1
,"Taradale Senior Citizens Friendship Centre, 10 White Street, Symons Lane entrance",10,0,1,11,0
,"Taradale Town Hall, 8 Meeanee Road",22,4,22,48,2
Te Awa,"Te Awa School, 1A Te Awa Avenue",7,4,10,21,0
Tutira,"Tutira School, 9 Matahorua Road",4,1,1,6,1
Wairoa,"Tapuae Sports Club, 58 Hunterbrown Street",51,2,26,79,1
,"Wairoa College, 20 Lucknow Street",39,2,21,62,1
,"Wairoa War Memorial Hall, 93 Queen Street",103,4,68,175,3
Westshore,"Westshore School Hall, Alfred Street",6,1,5,12,0
Remutaka
