Party and Electorate Candidate Votes Recorded at each Voting Place
Waiariki 72,Candidate Vote Details
,,"BOYNTON, Toni Olivia","HUNIA, Charles Tiki","WAITITI, Rawiri",Total Valid Candidate Votes,Informal Candidate Votes
Cape Runaway,"Te Kura Mana Māori o Whangaparāoa, 11555 State Highway 35",9,1,46,56,3
Edgecumbe,"Edgecumbe Primary School, 92 College Road",10,3,43,56,2
,"Edgecumbe War Memorial Hall, 2 Kauri Street",28,1,64,93,0
Galatea,"Galatea Memorial Hall, 34 Mangamate Road",7,2,28,37,0
Houpoto,"Te Kura Mana Māori o Maraenui, 11 Maraenui Pa Road",2,0,27,29,0
Kawerau,"Kawerau Concert Chambers, Ranfurly Court",63,12,197,272,3
,"Putauaki School Hall, 87 Fenton Mill Road",42,5,107,154,6
Kutarere,"Kutarere School, 461 State Highway 2",13,10,14,37,1
Maketu,"Maketu School, 8 School Road",13,2,86,101,2
Manawahe,"Manawahe Hall, 1866 Manawahe Road",4,0,3,7,0
Matatā,"Matatā Public School, 43 Pollen Street",30,7,50,87,2
Minginui,"Minginui Kokiri Centre, 63 Rimu Crescent",16,4,48,68,3
Murupara,"Murupara Area School Hall, 84 Pine Drive",55,10,112,177,8
Ōhope,"Ōhope Beach School, 170 Pohutukawa Avenue",9,2,19,30,0
Omarumutu,"Omarumutu School, 141 Omarumutu Road",6,0,23,29,0
Ōpōtiki,"Ōpōtiki College Hall, 22 St John Street",20,10,133,163,3
,"Ōpōtiki Senior Citizens Hall, 1 King Street",40,5,153,198,5
,"Woodlands School, 168 Dip Road",3,2,26,31,1
Otakiri,"Otakiri District Hall, 579 Otakiri Road",0,1,13,14,0
Otamarakau,"Otamarakau Hall, 2255 Old Coach Road",3,1,7,11,0
Paengaroa,"Paengaroa School Hall, 33 Old Coach Road",6,4,28,38,0
Pongakawa,"Pongakawa Hall, 956 Old Coach Road",0,0,10,10,0
Pukehina,"Pukehina School, 1762 Old Coach Road",2,0,7,9,0
Pukehina Beach,"Pukehina Fishing Club, 304 Pukehina Parade",5,2,12,19,0
Raukokore,"Old Raukokore School, 10104 State Highway 35",13,2,51,66,0
Ruatāhuna,"Te Wharekura o Huiarau, 98 Sister Annie Road",14,0,45,59,2
Ruatoki,"Tawera Bilingual School, 164 Ngahina Road",11,1,44,56,0
,"Te Whare Kura o Ruatoki, 16 Mission Road",20,0,94,114,2
Tāneatua,"Tāneatua School, 44 McKenzie Street",44,3,105,152,3
Te Kaha,"Te Kura o Te Whanau-a-Apanui, 6870 State Highway 35",13,1,135,149,2
Te Teko,"Te Kura o Te Teko School Hall, 24 Te Teko Road",34,8,162,204,4
Thornton,"Thornton School, 43 Eastbank Road",0,0,10,10,0
Tōrere,"Te Kura o Tōrere, 2276 State Highway 35",5,0,23,28,1
Waimana,"Nukuhou North School, 1647 State Highway 2",4,1,7,12,0
