Party and Electorate Candidate Votes Recorded at each Voting Place
Hauraki-Waikato 66,Candidate Vote Details
,,"MAHUTA, Nanaia Cybele","MAIPI-CLARKE, Hana-Rawhiti","POKERE-PHILLIPS, Donna",Total Valid Candidate Votes,Informal Candidate Votes
Nawton,"Crawshaw School, Crawshaw Drive",9,10,0,19,0
,"Good News Community Centre, 78 Breckons Avenue",55,52,3,110,2
,"Western Community Centre, 46 Hyde Avenue",44,68,7,119,5
Pukete,"Pukete School, 110 Pukete Road",18,22,1,41,2
,"Te Rapa School, 63 Ashurst Avenue",15,14,4,33,1
St Andrews,"All Saints Church Hall, 191 Sandwich Road",17,19,4,40,1
,"Hamilton Junior High School, 90 Heath Street",22,26,0,48,2
,"Scots Presbyterian Church, 32 Vardon Road",14,22,0,36,3
Templeview,"Kai Hall, 485 Tuhikaramea Road",23,56,1,80,1
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",24,42,2,68,0
Whitiora,"Whitiora School, 38 Willoughby Street",7,6,1,14,0
Manurewa
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",3,5,0,8,0
Papakura
Ararimu,"Ararimu Hall, (corner Steel Road & Ararimu Road)",4,2,1,7,0
Ardmore,"Ardmore School Hall, 559 Papakura-Clevedon Road",6,3,1,10,0
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",7,16,4,27,1
Bombay,"Bombay School, 35 Paparata Road",6,5,3,14,0
Clevedon,"Clevedon Hall, 1 Papakura-Clevedon Road",4,10,1,15,0
Drury,"Drury Community Hall, 10 Tui Street",12,16,3,31,0
Hunua,"Hunua Hall, 2314 Hunua Road",2,5,0,7,1
Karaka,"Karaka Pavilion, NZ Bloodstock Centre, 10 Hinau Road",7,12,4,23,1
,"Karaka School Hall, 12 Blackbridge Road",2,5,1,8,1
,"Te Hihi School Hall, 767 Linwood Road (corner Batty Road)",8,5,3,16,1
Kawakawa Bay,"Kawakawa Bay Public Hall, 9 Kawakawa-Orere Road",2,2,2,6,0
Manurewa,"Alfriston School, (corner Mill Road & Alfriston Road)",3,2,2,7,1
Maraetai,"Maraetai Beach School, 154 Maraetai Drive",4,5,3,12,0
Papakura,"Cosgrove School, 10 Cosgrove Road",24,23,2,49,1
,"Harvest Christian Church, 3 Beach Road",9,9,4,22,1
,"Kelvin Road School Hall, 74 Kelvin Road",39,33,4,76,2
,"Mangapikopiko School, 202 Park Estate Road",9,15,0,24,3
,"Ngā Puāwai O Wikitoria Te Kohānga Reo, 32 Old Wairoa Road",18,18,2,38,1
,"Ōpaheke School Hall, 12A Tasman Drive",12,15,2,29,0
,"Papakura Central School Auditorium, 23 Ray Small Drive",16,13,0,29,0
,"Papakura High School Hall, 11 Willis Road",19,17,1,37,3
,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",35,16,2,53,1
,"Papakura Marae, 29 Hunua Road",65,63,4,132,0
,"Papakura Normal School Hall, 49 Walters Road, Walters Road entrance",10,13,1,24,0
,"Red Hill Community Centre, 163 Dominion Road (corner Croskery Road)",18,23,2,43,0
,"Rosehill College, 5 Edinburgh Ave",22,22,1,45,1
,"South Auckland Car Club, Wellington Park, 1 Great South Road",12,9,1,22,1
Ramarama,"Ramarama School, 126 Ararimu Road",6,8,2,16,0
Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",4,5,0,9,2
Port Waikato
Clarks Beach,"Church By The Seashore, 14-16 Torkar Road",3,10,3,16,3
Glenbrook,"Glenbrook Primary School, 459 Glenbrook Road",5,9,0,14,0
Mangatāwhiri,"Mangatawhiri School, 15 McKenzie Road",7,4,2,13,3
Maramarua,"Maramarua School, 2200 State Highway 2",3,4,1,8,0
Mauku,"Mauku School, 389 Union Road",3,1,2,6,0
Mercer,"Te Paina School, 15 Glass Road",4,2,0,6,0
Meremere,"Meremere School, 23 Heather Green Avenue",5,6,3,14,0
Onewhero,"Onewhero Area School, 29 Hall Road",3,3,0,6,4
Paerata Rise,"Paerata Rise School, 32 Jonah Lomu Drive",3,5,2,10,1
Patumahoe,"Patumahoe School, 38 Patumahoe Road",7,9,2,18,2
Pōkeno,"Pokeno Community Hall, 19 Market Street",15,21,4,40,1
Port Waikato,"Port Waikato Community Hub, 1 Ocean View Road",6,9,3,18,1
Pukekawa,"Pukekawa School, 803 Highway 22",5,9,2,16,0
Pukekohe,"Pukekohe East School, 137 Runciman Road",2,4,1,7,0
,"Pukekohe Hill School, (corner Ward Street & Green Lane)",11,13,1,25,0
,"Pukekohe Intermediate School, 44 Queen Street",26,24,7,57,3
,"Pukekohe North School, (corner Princes Street & Beatty Road)",71,70,0,141,2
,"Revive Church, 14 Belgium Road",3,4,1,8,1
,"St Joseph's Primary School, 94 Seddon Street",9,14,3,26,0
,"Tamaoho School, 36 Taikaranga Street",3,4,0,7,0
,"Valley School, 42 East Street",10,11,3,24,2
Rangiriri,"Rangiriri School, 39 Rangiriri Road",7,4,0,11,1
Taken in Port Waikato,"Pop-up Voting Services, Various Locations",11,13,0,24,0
Te Kauwhata,"Te Kauwhata College, 50/64 Waerenga Road",20,30,2,52,1
Te Kohanga,"Te Kohanga School, 976 Tuakau - Port Waikato Main Road",6,6,2,14,1
Tuakau,"Tuakau Primary School, 6 School Road",9,20,2,31,0
,"Tuakau Town Hall, 70 George Street",45,28,6,79,4
Waiau Pa,"Waiau Pa School, Events Centre, 571 Waiau Pa Road",6,13,1,20,0
Waikaretu,"Waikaretu School, 1448 Waikaretu Valley Road",5,3,0,8,0
Waipipi,"Waipipi School, 100 Creamery Road",2,4,0,6,2
Waiuku,"Sandspit Road School, 60 Sandspit Road",11,18,3,32,0
