Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",21,8,29,8,2,68,5
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",22,5,30,18,4,79,2
Taken in Whangaparāoa,"Hospital and Care Homes Team, Team 1",2,1,3,0,0,6,1
Whangaparāoa,"The Coast Whangaparāoa, Shop 3.32, outdoor court on Main Street, 719 Whangaparāoa Road",32,5,23,16,3,79,3
Whangārei
Hikurangi,"Hikurangi Hall, 24 King Street",37,2,21,13,4,77,2
Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",74,11,62,30,1,178,9
Maunu,"Northland Vintage Car Clubrooms, Kiwi North, Gate 2, 500 State Highway 14",9,2,4,4,1,20,1
,"Whangārei Base Hospital, Imaging Room, Maunu Road",43,9,41,17,1,111,2
Ngunguru,"Ngunguru Community Hall, 1879 Ngunguru Road",11,3,17,7,1,39,3
Okara,"Okara Shopping Centre, opposite The Warehouse, 4 Port Road",204,27,226,136,10,603,21
Onerahi,"Onerahi Bowling Club, 35 Alamein Avenue",42,6,33,14,1,96,5
Otangarei,"Otangarei Rugby Club, 10 Matai Street",57,4,45,13,0,119,1
Parua Bay,"Mt. Manaia Bowling Club, 1341 Whangārei Heads Road",9,1,9,5,1,25,0
Raumanga,"Te Puna o Te Mātauranga - Northland Polytech Marae, Whare kai, Gate 1, 51 Raumanga Valley Road",37,4,49,39,0,129,0
Regent,"Anglican Parish Hall, 2A Kamo Road",12,5,12,9,0,38,0
Riverside,"Northland Rugby Clubroom, 136 Riverside Drive",10,0,12,6,0,28,0
Ruakākā,"Ruakākā Recreation Centre, Squash Court 1, 9 Takutai Place",42,8,39,18,2,109,3
Taken in Whangārei,"Care Homes Team, Team 1",17,0,5,6,1,29,1
,"Pop-up Voting Services, Various Locations - Retirement Villages",10,2,1,7,1,21,1
,"Pop-up Voting Services, Various Locations - Tertiary Institutions",15,2,12,10,0,39,2
Tikipunga,"Kiripaka Shopping Centre, 165 Kiripaka Road, by roundabout",199,25,184,119,8,535,15
Waipu,"Waipu Coronation Hall, 47 The Centre",16,5,16,10,0,47,5
Whangārei,"Strand Arcade, Shop beside Food Court, 41 Cameron Street",134,15,116,82,3,350,9
