Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Candidate Vote Details
,,"ARBUCKLE, Jamie Arthur","BROWN, Shaun Keith","CAMPBELL, Sandra","COLELLO, Natalie Maria","DEWHIRST, Emma Marie","GREENSLADE, David John","GRIFFITHS, Keith William","HOWARD, Thomas Edward (Ted)","McCASKEY, John","McCUBBIN, Richard Anthony","SMITH, Stuart Tayler",Total Valid Candidate Votes,Informal Candidate Votes
Renwick,"Renwick Community Memorial Hall, 27 High Street",96,0,4,18,124,2,57,2,0,22,378,703,4
Riverlands,"Riverlands Hall, School Road (corner Alabama Road)",23,0,1,1,23,0,9,0,0,2,88,147,0
Rotherham,"Rotherham School Library, 71 George Street",7,0,3,7,26,1,13,0,2,17,110,186,0
Seddon,"Seddon School Staff Room, 15 Redwood Street",42,0,2,10,47,0,23,0,1,18,175,318,3
Sefton,"Sefton Public Hall, 591 Upper Sefton Road",19,0,11,6,74,3,15,0,4,20,142,294,2
Spotswood,"Spotswood Hall, 6 Waiau East Road (State Highway 1)",6,0,6,5,4,0,6,0,0,4,47,78,0
Spring Creek,"Spring Creek School, 52 Ferry Road",41,1,6,8,66,2,17,0,0,17,98,256,3
Tuamarina,"Tua Marina School Hall, Campbells Road",26,0,1,2,30,2,12,0,2,9,98,182,2
Waiau,"Waiau School, 11 Montrose Street (corner Leslie Street)",18,0,6,6,31,2,16,0,0,23,142,244,1
Waihopai,"Waihopai Valley Community Hall, 1605 Waihopai Valley Road",12,0,1,1,6,0,1,0,0,0,58,79,1
Waikari,"Waikari School, 23 Princes Street",21,0,5,2,33,0,8,1,5,22,134,231,2
Waipara,"Waipara School, Harakeke Room, 2 Loffhagen Drive",12,0,5,10,21,5,15,0,22,13,67,170,1
Wairau Valley,"Wairau Valley School Library, 30 Morse Street",27,0,1,8,37,1,12,0,0,12,96,194,3
Ward,"Ward School Library, 63 Duncan Street",16,0,0,3,13,0,14,1,0,6,83,136,1
Woodbourne,"RNZAF Woodbourne Community Centre, Caldwell Road",15,0,4,1,29,0,10,0,0,13,36,108,0
Woodend,"Woodend Community Centre, 6A School Road",2,0,1,0,2,0,2,0,0,0,0,7,0

,Overseas Special Votes Including Defence Force - Kaikōura,46,1,1,12,181,9,44,1,0,69,432,796,0
,Special Votes BEFORE Polling Day - Kaikōura,209,2,31,83,645,17,188,8,7,247,1200,2637,32
,Special Votes ON Polling Day - Kaikōura,213,5,44,108,472,21,202,6,8,245,1028,2352,41
,Voting places where less than 6 votes were taken,1,0,0,1,6,0,0,0,0,2,5,15,0

,Kaikōura Total,4347,43,509,921,9329,237,2624,109,139,2512,20741,41511,418

,Valid Candidate Votes plus Informal Candidate Votes,,41929

Electorate Candidate Valid Votes,Party,,,"SMITH, Stuart Tayler - majority 11412"
"ARBUCKLE, Jamie Arthur",New Zealand First Party,4347,10.47
"BROWN, Shaun Keith",Money Free Party NZ,43,0.10
"CAMPBELL, Sandra",DemocracyNZ,509,1.23
"COLELLO, Natalie Maria",New Zealand Loyal,921,2.22
"DEWHIRST, Emma Marie",Labour Party,9329,22.47
"GREENSLADE, David John",New Conservatives,237,0.57
"GRIFFITHS, Keith William",ACT New Zealand,2624,6.32
"HOWARD, Thomas Edward (Ted)",Independent,109,0.26
"McCASKEY, John",Independent,139,0.33
"McCUBBIN, Richard Anthony",Green Party,2512,6.05
"SMITH, Stuart Tayler",National Party,20741,49.97
