Party and Electorate Candidate Votes Recorded at each Voting Place
New Lynn 28,Candidate Vote Details
,,"ABEL, Stephen George Bremner","ALVAREZ DE LUGO COLMENARES, Juan Jose","GARCIA, Paulo Reyes","MANN, Phineas","OLIVER, Stephen Thomas","RUSSELL, Deborah Faye",Total Valid Candidate Votes,Informal Candidate Votes
,"New Lynn Sea Scout Hall, 37 Margan Avenue",36,13,108,2,15,132,306,6
,"Pan African Community Centre, 3131 Great North Road",12,4,22,0,2,24,64,0
,"Suburbs Rugby Football Club, 130 Portage Road",74,21,199,5,20,185,504,5
,"The Salvation Army Church Hall, 32 Delta Avenue",16,6,58,2,4,96,182,9
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",6,1,5,0,0,6,18,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,2,7,0,0,6,16,0
New Windsor,"New Windsor School, 185 New Windsor Road, 65 Peter Buck Road entrance",10,2,43,0,2,39,96,0
Oratia,"Oratia District School Hall, 1 Shaw Road",66,42,265,1,36,187,597,3
Piha,"Barnett Hall, 2 North Piha Road",74,20,78,2,24,130,328,6
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",3,1,4,0,0,4,12,1
Rānui,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",13,4,19,1,3,25,65,0
Swanson,"Swanson School, 703 Swanson Road",79,51,186,2,18,173,509,10
Te Atatū Peninsula,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",3,0,1,0,0,2,6,0
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",1,0,3,0,0,2,6,1
Titirangi,"Kaurilands School Hall, 109 Atkinson Road",46,14,139,3,9,141,352,3
,"The Crossing - Te Whakawhitia, Konini House, 30/44 Kaurilands Road",18,4,24,0,3,25,74,0
,"Titirangi War Memorial Hall, 500 South Titirangi Road",153,31,227,0,33,301,745,8
,"Woodlands Park School Hall, 202 Woodlands Park Road",111,35,211,5,21,204,587,1
Waiatarua,"Waiatarua Community Hall, 911 West Coast Road",41,13,85,3,14,85,241,2
Waitākere,"Waitākere Domain Hall, 13 Bethells Road",88,52,237,4,40,183,604,0
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",10,3,14,1,0,18,46,1
,"Waterview Primary School Hall, 16 Herdman Street",2,0,0,0,0,4,6,0
Western Springs,"Greek Community and Orthodox Parish of Auckland, 106-108 Western Springs Road",1,0,1,1,0,4,7,0
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",5,1,4,0,3,12,25,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",8,6,8,0,3,4,29,1

,Overseas Special Votes Including Defence Force - New Lynn,230,67,419,5,31,418,1170,6
,Special Votes BEFORE Polling Day - New Lynn,664,235,1666,16,92,1259,3932,99
,Special Votes ON Polling Day - New Lynn,604,214,1178,28,152,1086,3262,101
,Voting places where less than 6 votes were taken,2,0,0,0,0,1,3,2

,New Lynn Total,5376,2301,15886,216,1148,14873,39800,707

,Valid Candidate Votes plus Informal Candidate Votes,,40507

Electorate Candidate Valid Votes,Party,,,"GARCIA, Paulo Reyes - majority 1013"
"ABEL, Stephen George Bremner",Green Party,5376,13.51
"ALVAREZ DE LUGO COLMENARES, Juan Jose",ACT New Zealand,2301,5.78
"GARCIA, Paulo Reyes",National Party,15886,39.91
"MANN, Phineas",Vision New Zealand,216,0.54
"OLIVER, Stephen Thomas",New Zealand Loyal,1148,2.88
"RUSSELL, Deborah Faye",Labour Party,14873,37.37
