Party and Electorate Candidate Votes Recorded at each Voting Place
Māngere 21,Candidate Vote Details
,,"ALAILIMA, Fuiavailili","BOURKE, Rosemary Tarshi","JOSEPH, Pothen","PETERS, Hilda","SOSENE, Lemauga Lydia","STANLEY, Brooke Fiafia","SYKES, Peter Brian",Total Valid Candidate Votes,Informal Candidate Votes
,Valid Candidate Votes plus Informal Candidate Votes,,29016

Electorate Candidate Valid Votes,Party,,,"SOSENE, Lemauga Lydia - majority 11712"
"ALAILIMA, Fuiavailili",Vision New Zealand,535,1.90
"BOURKE, Rosemary Tarshi",National Party,5585,19.79
"JOSEPH, Pothen",ACT New Zealand,670,2.37
"PETERS, Hilda",Te Pāti Māori,934,3.31
"SOSENE, Lemauga Lydia",Labour Party,17297,61.29
"STANLEY, Brooke Fiafia",Independent,502,1.78
"SYKES, Peter Brian",Green Party,2700,9.57
