Party and Electorate Candidate Votes Recorded at each Voting Place
Kaipara ki Mahurangi 18,Candidate Vote Details
,,"BAILEY, Stephen Brent","BREWER, Sarah","BROWN, Antonio Zephyr","MARCROFT, Jennifer Lyn","PENK, Christopher Aidan","WISHART, Guy",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Taken in Kaipara ki Mahurangi,"Care Homes, Team 1",1,1,2,14,38,24,80,4
,"Defence Force Base, RNZAF Base Airport Drive",9,0,6,2,44,7,68,0
Te Hana,"Te Hana Te Ao Marama Māori Cultural Centre, 311 State Highway 1",1,4,0,2,18,7,32,1
Waimauku,"Waimauku War Memorial Hall, 24 Waimauku Station Road",100,23,132,44,975,280,1554,6
Warkworth,"PAK'nSAVE Warkworth, Hudson Road (corner State Highway 1)",93,56,173,123,1237,306,1988,21
,"Warkworth Masonic Hall, 3 Baxter Street",153,61,287,235,1995,635,3366,23
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",62,83,94,119,700,208,1266,17
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",69,15,105,26,695,232,1142,8
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",111,14,141,43,939,330,1578,21
West Harbour,"Marina View School, 97 Marina View Drive",3,0,2,0,23,3,31,0
,"Westgate Baptist Church, 67 Hobsonville Road",7,2,7,6,94,24,140,3
Whangaparāoa,"The Coast Whangaparāoa, Shop 3.32, outdoor court on Main Street, 719 Whangaparāoa Road",1,0,2,2,18,6,29,0

Voting Places
Albany,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",2,0,6,2,30,7,47,0
Coatesville,"Coatesville Settlers Hall, 4 Mahoenui Valley Road",5,1,8,3,95,22,134,1
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",8,1,6,4,34,10,63,0
Helensville,"Magnify Church, 118 Commercial Road",59,30,81,46,423,185,824,9
Henderson,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",1,0,1,1,0,3,6,0
Herald Island,"Herald Island Community Hall, 44A Ferry Parade",18,8,45,21,263,85,440,3
Hobsonville,"Hobsonville Point Primary School, 18 De Havilland Road",1,0,2,0,6,4,13,0
,"Hobsonville School, 104 Hobsonville Road",1,0,8,1,27,7,44,0
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",3,0,4,2,16,12,37,1
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",1,0,5,0,6,0,12,0
Huapai,"Matua Ngaru School Hall, 47 Gilbransen Road",14,6,38,16,275,69,418,4
