Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
Northland,"St Anne's Anglican Church, (corner Northland Road & Randwick Road)",5,0,2,2,9,0
Thorndon,"Thorndon School Hall, 26 Murphy Street",9,0,1,7,17,0
,"Wellington Bridge Club, 17 Tinakori Road",6,0,1,4,11,0
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",25,0,3,12,40,0
,"Sustainability Trust Wellington, 2 Forresters Lane",12,1,1,6,20,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",19,0,1,13,33,0
Wilton,"Otari School Hall, 166 Wilton Road",9,1,0,6,16,0
West Coast-Tasman
Blackball,"Blackball Paparoa Range School, 3 Chamberlain Street",1,1,2,4,8,0
Brightwater,"Brightwater School, 106 Ellis Street",7,0,6,3,16,2
Bruce Bay,"Bruce Bay Hall, 4670 Haast Highway",2,2,1,3,8,0
Carters Beach,"Carters Beach Hall, 31 Marine Parade",1,0,2,4,7,0
Cobden,"Cobden School, 53 Fox Street",5,0,3,7,15,0
Collingwood,"Collingwood Memorial Hall, 9 Tasman Street",0,0,1,6,7,0
Dobson,"Dobson Paparoa Range School, Herald Street",5,0,1,3,9,1
Franz Josef,"Franz Josef Medical Centre, Community Room, 97 Cron Street",5,1,0,3,9,0
Greymouth,"Blaketown School, 90 Blake Street",1,1,3,3,8,0
,"Elim Church, 41 Guiness Street",3,1,2,4,10,0
,"Grey Main School, 12 Joyce Crescent",7,2,0,3,12,0
,"Greymouth High School, High Street",7,0,2,4,13,1
Hokitika,"Church of Christ, 63 Sale Street (corner Stafford Street)",2,1,2,7,12,0
,"Hokitika Westland RSA, 22 Sewell Street",7,2,7,14,30,1
,"St Mary's Primary School Hall, 87 Sewell Street",3,1,3,6,13,2
,"Westland High School, 140 Hampden Street",4,2,4,8,18,0
Māpua,"Māpua Hall, 72 Aranui Road",5,2,2,3,12,0
Motueka,"Motueka Library, 32 Wallace Street",21,3,8,12,44,2
,"Motueka South School, 450 High Street",3,1,2,7,13,2
,"Parklands School Āniwaniwa Building, 9-19 Pah Street",24,2,4,16,46,0
Motupipi,"Motupipi Hall, 431 Abel Tasman Drive",2,0,2,3,7,0
Murchison,"Murchison Area School, 61 Waller Street",5,1,3,1,10,2
Ngakawau,"Ngakawau Domain Hall, 30 Main Road",1,1,2,8,12,1
Paroa,"Paroa School, 494 Main South Road",1,1,4,2,8,0
Pōhara,"Pōhara Hall, 870 Abel Tasman Drive",3,0,0,3,6,2
Reefton,"St John Station, 8 Smith Street",5,0,1,4,10,0
Riwaka,"Riwaka School, 20 School Road",5,0,2,7,14,1
Runanga,"Runanga School, 22 Duncan Street",4,0,1,5,10,2
Tākaka,"Golden Bay High School, 12 Waitapu Road",4,1,0,1,6,0
,"Tākaka Anglican Church Hall, 42 Commercial Street",3,1,1,5,10,0
Tapawera,"Tapawera Area School, 48 Main Road",4,0,2,2,8,0
Tasman,"Tasman School, 417 Aporo Road",3,1,2,0,6,2
Umukuri,"Brooklyn School, 256 Umukuri Road",3,0,0,4,7,0
Upper Moutere,"Upper Moutere School Hall, Main Road",2,0,2,3,7,1
Wakefield,"Wakefield School Hall, Edward Street",4,2,5,7,18,2
Westport,"Buller REAP, 111 Palmerston Street",3,0,0,6,9,0
,"St Canice's School, 24A Brougham Street",4,1,1,7,13,0
,"Westport North School, 65 Cobden Street",3,1,5,4,13,2
,"Westport South School, 165 Derby Street",4,0,1,2,7,0
Wigram
Addington,"Addington School Te Kura Taumatua Hall, 17-22 Somerset Crescent",2,0,0,9,11,0
,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",7,0,0,6,13,0
Halswell,"Mingimingi Hautoa - Knights Stream School Hall, 1 Killarney Avenue",4,0,1,8,13,0
Hei Hei,"Ara Tū Whakatā Gilberthorpe School Hall, 163 Gilberthorpes Road",2,1,2,3,8,0
,"Hei Hei Community Centre, 12 Wycola Avenue",16,0,2,15,33,0
Hoon Hay,"Hoon Hay Te Kura Kōaka, Primary School Hall, 91 Sparks Road",6,0,2,3,11,2
,"Te Kōmanawa Rowley School Hall, 48 Rowley Avenue",22,0,2,9,33,1
,"Te Kura o Mōkihi Spreydon School Hall, 50 Hoon Hay Road",5,0,1,6,12,0
,"Te Kura Tuarua o Horomaka Hillmorton High School Hall, 31 Tankerville Road",2,0,2,2,6,0
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",6,1,2,5,14,0
,"Te Māhuri Mānuka Hornby Primary School, Room 14 & 15, 9 Hei Hei Road, access from carpark",0,0,3,4,7,0
,"Te Manu Tukutuku South Hornby School Hall, 35 Amyes Road",6,0,1,10,17,2
,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",19,1,3,15,38,1
Riccarton,"Riccarton Baptist Church, 80 Rattray Street",3,0,3,3,9,0
,"Westfield Riccarton, Level 2, 129 Riccarton Road",14,0,0,7,21,0
,"Wharenui School Hall, 32 Matipo Street",12,1,1,7,21,0
Sockburn,"St Thomas of Canterbury, Classroom, 69 Middlepark Road",4,1,0,5,10,0
,"Te Kāpehu Riccarton Primary School Hall, 1 English Street",3,0,6,7,16,0
Spreydon,"Barrington Mall, 256 Barrington Street",15,0,1,9,25,0
,"Christchurch South Karamata Intermediate Hall, 204 Selwyn Street",8,0,1,8,17,2
,"South West Baptist Church, Cobham Hall, 51 Cobham Street",7,2,1,7,17,2
,"St Martin's Church, Neave Room, 50 Lincoln Road",3,0,3,7,13,0
Wigram,"Harvard Community Lounge, Wigram Village Green, Corsair Drive",10,0,5,4,19,1

,Overseas Special Votes Including Defence Force - Te Tai Tonga,292,16,37,159,504,14
,Special Votes BEFORE Polling Day - Te Tai Tonga,1529,44,292,829,2694,106
,Special Votes ON Polling Day - Te Tai Tonga,1218,53,335,738,2344,97
,Voting places where less than 6 votes were taken,337,51,133,328,849,52

,Te Tai Tonga Total,12828,816,2852,10004,26500,910

,Valid Candidate Votes plus Informal Candidate Votes,,27410

Electorate Candidate Valid Votes,Party,,,"FERRIS, Tākuta - majority 2824"
"FERRIS, Tākuta",Te Pāti Māori,12828,48.41
"FUIMAONO KARENA, Geoffrey Wayne Puhi",Independent,816,3.08
"ROBIN, Rebecca Rae",Aotearoa Legalise Cannabis Party,2852,10.76
"TIRIKATENE, Rino",Labour Party,10004,37.75
