Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
,"Pop-up Voting Services, Various locations - Chatham Islands",10,0,2,9,21,1
Taken in Rongotai Electorate,"Pop-up Voting Services, Various Locations",14,0,1,3,18,0
Selwyn
Darfield,"St Joseph's Parish Centre, 1981 Telegraph Road",16,1,3,6,26,1
Leeston,"Old Post Shop, 76A High Street",11,1,3,17,32,1
Lincoln,"Lincoln Event Centre, 15 Meijer Drive",16,3,2,8,29,3
,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",13,1,1,3,18,1
Prebbleton,"All Saints Church Hall, 1-7 Blakes Road",7,3,0,4,14,1
Rolleston,"Selwyn District Council, 2 Norman Kirk Drive",46,2,10,44,102,4
,"Selwyn Sports Centre, 70 Broadlands Drive",25,2,9,18,54,3
West Melton,"West Melton Community and Recreation Centre, 1163 West Coast Road (State Highway 73)",3,2,3,3,11,2
Southland
Alexandra,"St Enoch's Church Lounge, 12 Centennial Avenue",19,2,4,26,51,2
Arrowtown,"Arrowtown Athenaeum Hall, 33 Buckingham Street",4,0,5,8,17,1
,"St John's Presbyterian Church, (corner Berkshire Street & Durham Street)",3,1,2,3,9,0
Frankton,"Queenstown Events Centre, 33 Joe O'Connell Drive",1,3,2,3,9,0
,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",26,6,7,27,66,3
Gore,"James Cumming Community Rooms, Otamatea Room, 10 Ardwick Street",30,8,14,26,78,6
Mataura,"Mataura Community Centre, 2 Macqueen Avenue",24,2,7,24,57,1
Queenstown,"Queenstown Memorial Centre, 1 Memorial Street",3,1,1,9,14,2
Roxburgh,"Roxburgh Memorial Hall, 120 Scotland Street",2,0,2,3,7,0
Tapanui,"West Otago RSA Club, 51 Northumberland Street",1,0,1,5,7,3
Te Anau,"Fiordland Community House, 21 Luxmore Drive",7,1,3,7,18,2
Winton,"Winton Memorial Hall, 2 Meldrum Street",18,8,5,9,40,6
Taieri
Balclutha,"Te Pou Ō Mata-au Clutha District War Memorial & Community Centre, 6 Clyde Street",29,1,8,29,67,2
